State,Code,Capital,Largest city
Acre,AC,Rio Branco,Rio Branco
Alagoas,AL,Maceio,Maceio
Amapa,AP,Macapa,Macapa
Amazonas,AM,Manaus,Manaus
Bahia,BA,Salvador,Salvador
Ceara,CE,Fortaleza,Fortaleza
Distrito Federal,DF,Brasilia,Brasilia
Espirito Santo,ES,Vitoria,Serra
Goias,GO,Goiania,Goiania
Maranhao,MA,Sao Luis,Sao Luis
Mato Grosso,MT,Cuiaba,Cuiaba
Mato Grosso do Sul,MS,Campo Grande,Campo Grande
Minas Gerais,MG,Belo Horizonte,Belo Horizonte
Para,PA,Belem,Belem
Paraiba,PB,Joao Pessoa,Joao Pessoa
Parana,PR,Curitiba,Curitiba
Pernambuco,PE,Recife,Recife
Piaui,PI,Teresina,Teresina
Rio de Janeiro,RJ,Rio de Janeiro,Rio de Janeiro
Rio Grande do Norte,RN,Natal,Natal
Rio Grande do Sul,RS,Porto Alegre,Porto Alegre
Rondonia,RO,Porto Velho,Porto Velho
Roraima,RR,Boa Vista,Boa Vista
Santa Catarina,SC,Florianopolis,Joinville
Sao Paulo,SP,Sao Paulo,Sao Paulo
Sergipe,SE,Aracaju,Aracaju
Tocantins,TO,Palmas,Palmas
